Title,Minutes Played,Hours Played,Release Date,Developers,Publishers,Metascore
Rocket League,32063,534.39,7-Jul-15,"Psyonix,                                                                       Psyonix, Inc.","Psyonix,                                                                       Psyonix, Inc.",86
Counter-Strike: Global Offensive,17033,283.89,21-Aug-12,Valve,Valve,83
Bastion,11596,193.27,16-Aug-11,Supergiant Games,Warner Bros. Interactive Entertainment,86
PAYDAY 2,7332,122.2,13-Aug-13,OVERKILL - a Starbreeze Studio.,"505 Games,                                                                       Starbreeze Publishing AB",79
PLAYERUNKNOWN'S BATTLEGROUNDS,6748,112.47,21-Dec-17,"Bluehole, Inc.,                                                                       PUBG Corporation","Bluehole, Inc. ,                                                                       PUBG Corporation",86
Sid Meier's Civilization V,6422,107.04,21-Sep-10,"Firaxis Games,                                                                       Aspyr (Mac, Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K Games,                                                                       Aspyr (Mac, Linux),                                                                       2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",90
Stardew Valley,6056,100.94,26-Feb-16,ConcernedApe,Chucklefish,89
The Elder Scrolls V: Skyrim,4849,80.82,10-Nov-11,Bethesda Game Studios,Bethesda Softworks,94
Starbound,4749,79.16,22-Jul-16,Chucklefish,",                                                                       Chucklefish",81
Rust,4634,77.24,8-Feb-18,Facepunch Studios,Facepunch Studios,69
NBA 2K15,3272,54.54,6-Oct-14,Visual Concepts,2K,
The Witcher 3: Wild Hunt,3207,53.45,18-May-15,CD PROJEKT RED,CD PROJEKT RED,93
Sid Meier's Civilization VI,3141,52.35,20-Oct-16,"Firaxis,                                                                       Aspyr (Mac),                                                                       Aspyr (Mac, Linux),                                                                       Firaxis Games,                                                                       Aspyr (Linux)","2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Mac, Linux),                                                                       Aspyr (Linux)",88
Borderlands 2,2927,48.79,18-Sep-12,"Gearbox Software,                                                                       Aspyr (Mac & Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K Games,                                                                       Aspyr (Mac & Linux),                                                                       2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",89
Amnesia: The Dark Descent,2649,44.15,8-Sep-10,Frictional Games,Frictional Games,85
Team Fortress 2,2603,43.39,10-Oct-07,Valve,Valve,92
Sid Meier's Civilization: Beyond Earth,2592,43.2,23-Oct-14,"Firaxis Games,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",81
Tropico 5,2400,40,23-May-14,Haemimont Games,Kalypso Media Digital,75
Assassin's Creed IV Black Flag,2324,38.74,19-Nov-13,Ubisoft Montreal,Ubisoft,
Grand Theft Auto V,2046,34.1,13-Apr-15,Rockstar North,Rockstar Games,96
XCOM: Enemy Unknown,1975,32.92,8-Oct-12,"Firaxis Games,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux)","2K Games,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux),                                                                       2K",89
Faerie Solitaire,1848,30.8,17-Sep-10,Subsoap,Subsoap,
Dead Island,1756,29.27,,Techland,Deep Silver,
Banished,1751,29.19,18-Feb-14,Shining Rock Software LLC,",                                                                       Shining Rock Software LLC",
Dead Island: Epidemic,1696,28.27,20-Nov-14,Stunlock Studios,"Deep Silver ,                                                                       Deep Silver",
Rogue Legacy,1670,27.84,27-Jun-13,Cellar Door Games,",                                                                       Cellar Door Games",85
Crusader Kings II,1669,27.82,14-Feb-12,Paradox Development Studio,Paradox Interactive,82
Dead Rising 2,1603,26.72,28-Sep-10,"Blue Castle Games,                                                                       Capcom Vancouver",Capcom,78
Saints Row: The Third,1510,25.17,15-Nov-11,Volition,Deep Silver,84
FINAL FANTASY IX,1499,24.99,14-Apr-16,"SQUARE ENIX,                                                                       Square Enix","SQUARE ENIX,                                                                       Square Enix",84
The Witcher: Enhanced Edition,1466,24.44,19-Sep-08,"CD Projekt RED,                                                                       CD PROJEKT RED","CD Projekt RED,                                                                       1C-SoftClub,                                                                       CD PROJEKT RED",86
Just Cause 2,1432,23.87,23-Mar-10,"Avalanche,                                                                       Avalanche Studios","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",84
Saints Row IV,1411,23.52,20-Aug-13,Deep Silver Volition,Deep Silver,86
Middle-earth™: Shadow of Mordor™,1410,23.5,30-Sep-14,"Monolith Productions, Inc.,                                                                       Monolith Productions,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux)","WB Games,                                                                       Feral Interactive (Mac)",
Fallout 4,1368,22.8,10-Nov-15,Bethesda Game Studios,Bethesda Softworks,84
Red Faction: Guerrilla Steam Edition,1299,21.65,15-Sep-09,"Volition,                                                                       Reactor Zero,                                                                       THQ Nordic","Nordic Games,                                                                       THQ Nordic",82
Endless Space,1271,21.19,4-Jul-12,"Amplitude Studios,                                                                       AMPLITUDE Studios","AMPLITUDE,                                                                       SEGA",77
Fallout: New Vegas,1264,21.07,19-Oct-10,Obsidian Entertainment,Bethesda Softworks,84
Cities: Skylines,1232,20.54,10-Mar-15,Colossal Order Ltd.,Paradox Interactive,85
Eufloria,1217,20.29,20-Oct-09,Rudolf Kremers & Alex May,Omni Systems,63
Fallout 3 - Game of the Year Edition,1165,19.42,17-Dec-09,Bethesda Game Studios,Bethesda Softworks,91
Far Cry® 3,1076,17.94,4-Dec-12,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,88
Endless Legend,1033,17.22,18-Sep-14,AMPLITUDE Studios,"AMPLITUDE Studios,                                                                       SEGA",82
XCOM 2,1002,16.7,5-Feb-16,"Firaxis,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux),                                                                       Firaxis Games","2K,                                                                       Feral Interactive (Mac),                                                                       Feral Interactive (Linux)",88
BioShock Infinite,971,16.19,25-Mar-13,"Irrational Games,                                                                       Aspyr (Mac),                                                                       Virtual Programming (Linux)","2K Games,                                                                       Aspyr (Mac),                                                                       2K",94
DARK SOULS™: Prepare To Die Edition,961,16.02,24-Aug-12,FromSoftware,"Namco Bandai Games,                                                                       BANDAI NAMCO Entertainment",85
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,935,15.59,13-May-14,"TECMO KOEI GAMES CO., LTD.,                                                                       KOEI TECMO GAMES CO., LTD.","TECMO KOEI GAMES CO., LTD.,                                                                       KOEI TECMO GAMES CO., LTD.",71
Solar 2,922,15.37,17-Jun-11,Murudai,Murudai,72
Mortal Kombat Komplete Edition,912,15.2,,"NetherRealm Studios,                                                                       High Voltage Software",Warner Bros. Interactive Entertainment,
Loadout,860,14.34,31-Jan-14,Edge of Reality,Edge of Reality,72
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,812,13.54,24-Oct-13,"CyberConnect 2,                                                                       CyberConnect2 Co. Ltd.","Namco Bandai Games,                                                                       BANDAI NAMCO Entertainment",80
Grand Theft Auto IV,755,12.59,2-Dec-08,"Rockstar North,                                                                       Rockstar Toronto",Rockstar Games,90
Sleeping Dogs™,744,12.4,,United Front Games,"SQUARE ENIX, Eidos Interactive,                                                                       Square Enix",81
The Witcher 2: Assassins of Kings Enhanced Edition,742,12.37,16-Apr-12,"CD Projekt RED,                                                                       CD PROJEKT RED","CD Projekt RED,                                                                       1C-SoftClub,                                                                       CD PROJEKT RED",88
Batman: Arkham City GOTY,733,12.22,7-Sep-12,"Rocksteady Studios,                                                                       Feral Interactive (Mac)","Warner Bros. Interactive Entertainment,                                                                       Feral Interactive (Mac)",91
Europa Universalis IV,729,12.15,13-Aug-13,Paradox Development Studio,Paradox Interactive,87
Puzzle Quest 2,697,11.62,12-Aug-10,Infinite Interactive,"Namco Networks America, Inc.",83
NBA Playgrounds,689,11.49,9-May-17,Saber Interactive,"Mad Dog Games, LLC",67
Road Redemption,674,11.24,4-Oct-17,"Dark Seas Interactive,                                                                       The Fisch Brothers,                                                                       Pixeldash,                                                                       Fish Factory Games,                                                                       EQ-Games , Pixel Dash Studios","Dark Seas Interactive,                                                                       The Fisch Brothers,                                                                       Pixeldash,                                                                       Tripwire Interactive",
Fable - The Lost Chapters,671,11.19,19-Dec-11,Lionhead Studios,"Microsoft Game Studios,                                                                       Microsoft Studios",83
The Wolf Among Us,665,11.09,11-Oct-13,Telltale Games,Telltale Games,85
Terraria,632,10.54,16-May-11,Re-Logic,Re-Logic,83
FTL: Faster Than Light,617,10.29,14-Sep-12,Subset Games,Subset Games,84
The Elder Scrolls IV: Oblivion,615,10.25,16-Jun-09,Bethesda Game Studios,Bethesda Softworks,94
Geometry Wars 3: Dimensions Evolved,587,9.79,25-Nov-14,"Lucid Games,                                                                       Aspyr (Mac & Linux)","Sierra,                                                                       Activision,                                                                       Aspyr (Mac, Linux)",
Awesomenauts,560,9.34,1-Aug-12,Ronimo Games,Ronimo Games,78
Ultimate Marvel vs. Capcom 3,552,9.2,6-Mar-17,"CAPCOM CO., LTD.","CAPCOM U.S.A., INC.",
STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,543,9.06,23-Aug-12,"Obsidian Entertainment,                                                                       Aspyr (Mac, Linux, & Windows Update)","LucasArts,                                                                       Disney Interactive,                                                                       Lucasfilm,                                                                       Aspyr (Mac, Linux)",85
Age of Empires® III: Complete Collection,543,9.06,5-Jan-12,Ensemble Studios,Microsoft Studios,81
Left 4 Dead 2,534,8.9,17-Nov-09,Valve,Valve,89
DmC Devil May Cry,532,8.87,25-Jan-13,Ninja Theory,Capcom,85
Deus Ex: Human Revolution - Director's Cut,523,8.72,25-Oct-13,"Eidos Montreal,                                                                       Feral Interactive (Mac)","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix,                                                                       Feral Interactive (Mac)",91
STAR WARS™: Knights of the Old Republic™,522,8.7,5-Sep-09,"BioWare,                                                                       Aspyr (Mac)","LucasArts,                                                                       Aspyr (Mac),                                                                       Disney Interactive,                                                                       Lucasfilm",
South Park™: The Stick of Truth™,497,8.29,3-Mar-14,Obsidian Entertainment,Ubisoft,
World of Goo,462,7.7,13-Oct-08,"2D BOY ,                                                                       2D BOY",2D BOY,90
Max Payne 3,462,7.7,31-May-12,Rockstar Studios,Rockstar Games,87
Magic: The Gathering - Duels of the Planeswalkers 2013,460,7.67,20-Jun-12,Stainless Games,Wizards of the Coast LLC,77
LEGO® Harry Potter: Years 1-4,459,7.65,25-Jun-10,TT Games,Warner Bros. Interactive Entertainment,79
FINAL FANTASY XIII,459,7.65,9-Oct-14,"SQUARE ENIX,                                                                       Square Enix","SQUARE ENIX ,                                                                       Square Enix",
Hotline Miami 2: Wrong Number,458,7.64,10-Mar-15,Dennaton Games,Devolver Digital,
Hotline Miami,452,7.54,23-Oct-12,Dennaton Games,Devolver Digital,85
State of Decay,452,7.54,5-Nov-13,Undead Labs,"Microsoft Game Studios,                                                                       Microsoft Studios",79
A Hat in Time,441,7.35,5-Oct-17,Gears for Breakfast,Gears for Breakfast,79
Mafia II,417,6.95,22-Mar-11,"2K Czech,                                                                       Feral Interactive (Mac)","2K Games,                                                                       2K,                                                                       Feral Interactive (Mac)",77
Plants vs. Zombies: Game of the Year,412,6.87,5-May-09,"PopCap Games, Inc.","PopCap Games, Inc.",87
The Binding of Isaac,412,6.87,28-Sep-11,Edmund McMillen and Florian Himsl,Edmund McMillen,84
Demigod,406,6.77,14-Dec-11,Gas Powered Games,Stardock Entertainment,76
Don't Starve,404,6.74,,Klei Entertainment,Klei Entertainment,79
Reus,391,6.52,16-May-13,Abbey Games,Abbey Games,75
Red Faction,376,6.27,5-Aug-09,"Volition, Inc.","Nordic Games,                                                                       THQ Nordic",78
"Star Wars: Battlefront 2 (Classic, 2005)",375,6.25,8-Jul-09,Pandemic Studios,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",78
The Forest,375,6.25,30-Apr-18,Endnight Games Ltd,Endnight Games Ltd,83
Into the Breach,375,6.25,27-Feb-18,Subset Games,Subset Games,89
NBA 2K16,372,6.2,29-Sep-15,Visual Concepts,2K,
Dragon Age: Origins - Ultimate Edition,361,6.02,26-Oct-10,BioWare,Electronic Arts,91
Chivalry: Medieval Warfare,351,5.85,16-Oct-12,Torn Banner Studios,Torn Banner Studios,79
Northgard,338,5.64,7-Mar-18,Shiro Games,Shiro Games,80
Grand Theft Auto: Episodes from Liberty City,329,5.49,13-Apr-10,Rockstar North / Toronto,Rockstar Games,
Staxel,328,5.47,23-Jan-18,Plukit,Humble Bundle,
Tom Clancy's Ghost Recon® Wildlands,314,5.24,7-Mar-17,"Ubisoft Paris,                                                                       Ubisoft Annecy,                                                                       Ubisoft Bucharest,                                                                       Ubisoft Montpellier,                                                                       Ubisoft Milan,                                                                       Reflections,                                                                       Ubisoft Belgrade",Ubisoft,
Paradigm,298,4.97,5-Apr-17,Jacob Janerka,Jacob Janerka,85
DOOM,282,4.7,13-May-16,id Software,Bethesda Softworks,85
Magic 2014,275,4.59,26-Jun-13,Stainless Games,Wizards of the Coast LLC,
Serious Sam HD: The First Encounter,268,4.47,24-Nov-09,Croteam,Devolver Digital,68
GRID,260,4.34,4-Jun-08,Codemasters Studios,Codemasters,87
BioShock,259,4.32,21-Aug-07,"2K Boston,                                                                       2K Australia","2K Games,                                                                       2K",96
Need for Speed: Hot Pursuit,254,4.24,14-Dec-10,Criterion Games,Electronic Arts,86
Age of Empires II: HD Edition,254,4.24,9-Apr-13,"Hidden Path Entertainment, Ensemble Studios,                                                                       Skybox Labs,                                                                       Hidden Path Entertainment,                                                                       Ensemble Studios",Microsoft Studios,68
Unreal Tournament 3: Black Edition,251,4.19,5-Mar-09,"Epic Games, Inc.","Epic Games, Inc.",83
Overlord,250,4.17,12-Nov-09,"Triumph Studios,                                                                       Virtual Programming",Codemasters,81
Hitman: Absolution,248,4.14,20-Nov-12,"IO Interactive,                                                                       Feral Interactive (Mac),                                                                       Io-Interactive A/S","SQUARE ENIX, Eidos Interactive,                                                                       Square Enix,                                                                       Feral Interactive (Mac),                                                                       Io-Interactive A/S",79
Risk of Rain,243,4.05,8-Nov-13,"Hopoo Games, LLC",",                                                                       Chucklefish",77
STAR WARS™ Empire at War: Gold Pack,240,4,25-May-10,Petroglyph,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",
Overlord: Raising Hell,240,4,12-Nov-09,"Triumph Studios,                                                                       Virtual Programming",Codemasters,
Prison Architect,235,3.92,6-Oct-15,Introversion Software,"Introversion,                                                                       Introversion Software",83
Command and Conquer: Red Alert 3,234,3.9,8-Jan-09,EA Los Angeles,Electronic Arts,82
Realm Royale,230,3.84,,,,
Just Cause 3,226,3.77,30-Nov-15,Avalanche Studios,Square Enix,74
One Finger Death Punch,221,3.69,3-Mar-14,Silver Dollar Games,Silver Dollar Games,
RollerCoaster Tycoon 3: Platinum!,216,3.6,12-Mar-08,"Frontier,                                                                       Aspyr (Mac)","Atari,                                                                       Aspyr (Mac)",81
Audiosurf,212,3.54,15-Feb-08,Dylan Fitterer,,85
Dungeon of the Endless,212,3.54,27-Oct-14,AMPLITUDE Studios,"AMPLITUDE Studios,                                                                       SEGA",79
Shadow Warrior,210,3.5,26-Sep-13,Flying Wild Hog,Devolver Digital,73
The Jackbox Party Pack,207,3.45,26-Nov-14,"Jackbox Games, Inc.","Jackbox Games, Inc.",
The Talos Principle,195,3.25,11-Dec-14,Croteam,"Devolver Digital,                                                                       Croteam",85
Cultist Simulator,189,3.15,31-May-18,Weather Factory,"Weather Factory,                                                                       Humble Bundle",75
Ghostbusters: The Video Game,183,3.05,16-Jun-09,Terminal Reality,Atari,74
American Truck Simulator,180,3,2-Feb-16,SCS Software,SCS Software,76
Rise to Ruins,180,3,27-Oct-14,Raymond Doerr,SixtyGig Games,
The Typing of The Dead: Overkill,177,2.95,29-Oct-13,Modern Dream,SEGA,
Planet Coaster,175,2.92,17-Nov-16,Frontier Developments,Frontier Developments,84
Brütal Legend,171,2.85,26-Feb-13,Double Fine Productions,Double Fine Productions,80
Endless Space 2,171,2.85,18-May-17,AMPLITUDE Studios,SEGA,
Pinball FX2,168,2.8,10-May-13,Zen Studios,Microsoft Game Studios,84
Skyward Collapse,166,2.77,23-May-13,"Arcen Games, LLC","Arcen Games,                                                                       Arcen Games, LLC",64
Roundabout,163,2.72,18-Sep-14,No Goblin,No Goblin,75
Half-Life 2,161,2.69,16-Nov-04,Valve,Valve,96
THE KING OF FIGHTERS XIII STEAM EDITION,156,2.6,13-Sep-13,"SNK Playmore,                                                                       SNK CORPORATION","SNK Playmore,                                                                       SNK CORPORATION",
Age of Mythology: Extended Edition,156,2.6,8-May-14,"SkyBox Labs,                                                                       Ensemble Studios",Microsoft Studios,66
AI War: Fleet Command,153,2.55,21-Oct-09,"Arcen Games, LLC","Arcen Games, LLC",80
"Cook, Serve, Delicious! 2!!",151,2.52,13-Sep-17,Vertigo Gaming Inc.,Vertigo Gaming Inc.,62
